Date,Open,High,Low,Close,Adj Close,Volume
09-03-2023,211.75,212.75,209.399994,209.75,207.81459,7481807
10-03-2023,208.050003,209.199997,206,208.75,206.823822,5967859
13-03-2023,207.050003,209.199997,202.199997,202.850006,200.978271,7250840
14-03-2023,203.850006,205.199997,201.699997,203.399994,201.523178,7282943
15-03-2023,205,205.449997,202.550003,202.949997,201.077332,5658938
16-03-2023,202.949997,204.550003,198.850006,203.399994,201.523178,7483698
17-03-2023,204.449997,206.399994,203.649994,205.149994,203.257034,6398045
20-03-2023,204.5,204.550003,200.5,202.600006,200.730576,6100721
21-03-2023,203,203.600006,201.600006,202.300003,200.433334,4431418
22-03-2023,203.350006,203.800003,200.5,200.949997,199.095795,7561000
23-03-2023,200,202.199997,199.550003,200.100006,198.253647,5367782
24-03-2023,200.100006,201.25,192.100006,192.75,190.971451,16010459
27-03-2023,192.899994,194,184.449997,186.649994,184.927734,22247890
28-03-2023,186.699997,187.5,182.350006,183.949997,182.252655,12023683
29-03-2023,184.5,187.699997,183.300003,185.5,183.788345,17480941
31-03-2023,188.5,191.600006,187.949997,190.25,188.494522,13519886
03-04-2023,193.350006,196.050003,192.050003,193.949997,192.160385,14927965
05-04-2023,194.649994,194.949997,192.5,194.600006,192.804382,7802577
06-04-2023,193.5,196,192.100006,195.25,193.44838,8898362
10-04-2023,195.5,197.75,195.100006,195.699997,193.894226,7752647
11-04-2023,197,197.899994,195.800003,197.550003,195.727173,4957133
12-04-2023,198,198.600006,195.550003,197.100006,195.281326,8183550
13-04-2023,197.199997,197.199997,194.25,196.300003,194.488693,6448150
17-04-2023,196.300003,197.600006,194.800003,196.949997,195.13269,4756452
18-04-2023,197.5,198.199997,196.149994,197.25,195.429932,4249222
19-04-2023,197.550003,197.75,193.050003,193.449997,191.664993,6753761
20-04-2023,193.550003,196.800003,193.449997,196.399994,194.587769,6086016
21-04-2023,196.949997,196.949997,194.5,195.699997,193.894226,4015567
24-04-2023,196.5,196.699997,194.800003,195.850006,194.042862,5017631
25-04-2023,195.850006,198.800003,195.350006,197.649994,195.826233,5957551
26-04-2023,197.649994,198.949997,196.149994,198.199997,196.37117,4910837
27-04-2023,198.449997,199.949997,197.649994,198.5,196.668396,5215692
28-04-2023,199.5,201.550003,199,201.100006,199.244415,7951645
02-05-2023,201.949997,202.949997,200.399994,201.75,199.888412,6881245
03-05-2023,201.800003,204.25,200.449997,203.800003,201.919495,8641713
04-05-2023,203.899994,204.550003,202.100006,203.850006,201.96904,8211667
05-05-2023,203.899994,205.600006,199.399994,200.149994,198.303162,16337389
08-05-2023,201.5,203.199997,199.5,202.699997,200.829636,7724617
09-05-2023,203.75,205.100006,202.399994,203.300003,201.424103,7956883
10-05-2023,203.5,204.449997,202.199997,204.149994,202.266251,5026713
11-05-2023,204.5,207.199997,204.149994,206.300003,204.396423,8986218
12-05-2023,206.850006,207.800003,206.149994,207.050003,205.139511,7304524
15-05-2023,207.649994,209.399994,206.449997,208.149994,206.229355,6740655
16-05-2023,208.850006,215,208.199997,211.350006,209.399841,18196503
17-05-2023,212.399994,212.399994,206.850006,207.75,205.833038,9107799
18-05-2023,209,209.699997,204.100006,204.600006,202.712112,8248339
19-05-2023,206.300003,206.5,201.800003,205.850006,203.950577,9002705
22-05-2023,206,206.899994,204.100006,206.199997,204.297348,5577418
23-05-2023,206.5,207.449997,205.5,206.899994,204.990891,5017652
24-05-2023,206.649994,208,205.550003,207.149994,205.238571,5447203
25-05-2023,207.199997,211.199997,206.550003,210.800003,208.854904,8705559
26-05-2023,212.25,213.800003,210.649994,212.199997,210.241989,8476048
29-05-2023,213,217.699997,211.699997,217,214.997696,12956419
30-05-2023,218,218.449997,215,216.899994,214.898605,11975300
31-05-2023,216.899994,219,212.899994,213.550003,211.579529,11299432
01-06-2023,213.949997,217,213,215.300003,213.313385,6324964
02-06-2023,216.399994,216.899994,215,215.649994,213.660141,4908437
05-06-2023,217,219.399994,216.149994,219.050003,217.028778,8688870
06-06-2023,219.800003,219.800003,215.550003,216.75,214.75,8301040
07-06-2023,216.600006,219.649994,214.100006,218.449997,218.449997,11387499
08-06-2023,218.949997,226.199997,218.449997,220.649994,220.649994,31056302
09-06-2023,224.600006,224.600006,220.199997,221.199997,221.199997,11045069
12-06-2023,221.949997,223.550003,220.350006,220.949997,220.949997,6342344
13-06-2023,221.5,222.800003,220.850006,221.800003,221.800003,6249947
14-06-2023,222.5,225.25,221.550003,224.149994,224.149994,10509540
15-06-2023,224.399994,224.649994,220.149994,220.600006,220.600006,7665159
16-06-2023,221.899994,223.699997,220.899994,222.25,222.25,7136739
19-06-2023,223,224.149994,221,223.149994,223.149994,7473608
20-06-2023,223.100006,226.350006,222.600006,224.5,224.5,5457527
